model year,make,model,electric vehicle type,vehicle_count
1999,FORD,RANGER,Battery Electric Vehicle (BEV),2
2000,FORD,RANGER,Battery Electric Vehicle (BEV),7
2002,TOYOTA,RAV4,Battery Electric Vehicle (BEV),1
2003,TOYOTA,RAV4,Battery Electric Vehicle (BEV),1
2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),20
2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),20
2010,WHEEGO ELECTRIC CARS,WHEEGO,Plug-in Hybrid Electric Vehicle (PHEV),2
2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,Battery Electric Vehicle (BEV),3
2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),56
2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),514
2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV),8
2011,TH!NK,CITY,Battery Electric Vehicle (BEV),6
2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),406
2012,FISKER,KARMA,Plug-in Hybrid Electric Vehicle (PHEV),9
2012,FORD,FOCUS,Battery Electric Vehicle (BEV),9
2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),37
2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),441
2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),112
2012,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),370
2012,TOYOTA,RAV4,Battery Electric Vehicle (BEV),13
2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),733
2013,FIAT,500,Battery Electric Vehicle (BEV),88
2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),349
2013,FORD,FOCUS,Battery Electric Vehicle (BEV),56
2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),154
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),1648
2013,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),22
2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),636
2013,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),281
2013,TOYOTA,RAV4,Battery Electric Vehicle (BEV),12
2014,BMW,I3,Battery Electric Vehicle (BEV),118
2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),258
2014,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),13
2014,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),57
2014,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),50
2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),608
2014,FIAT,500,Battery Electric Vehicle (BEV),85
2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),265
2014,FORD,FOCUS,Battery Electric Vehicle (BEV),45
2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),251
2014,HONDA,ACCORD,Plug-in Hybrid Electric Vehicle (PHEV),12
2014,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),22
2014,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),9
2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),591
2014,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),8
2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),57
2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),552
2014,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),195
2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),29
2015,BMW,I3,Battery Electric Vehicle (BEV),84
2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),264
2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),28
2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),91
2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),339
2015,FIAT,500,Battery Electric Vehicle (BEV),214
2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),248
2015,FORD,FOCUS,Battery Electric Vehicle (BEV),30
2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),207
2015,KIA,SOUL,Battery Electric Vehicle (BEV),23
2015,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),20
2015,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),1
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),1613
2015,PORSCHE,918,Plug-in Hybrid Electric Vehicle (PHEV),2
2015,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),15
2015,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),14
2015,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),41
2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),938
2015,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),103
2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),121
2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),187
2016,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),7
2016,BMW,I3,Battery Electric Vehicle (BEV),18
2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),141
2016,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),22
2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),147
2016,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),19
2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),76
2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),217
2016,FIAT,500,Battery Electric Vehicle (BEV),137
2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),304
2016,FORD,FOCUS,Battery Electric Vehicle (BEV),34
2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),367
2016,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),38
2016,KIA,SOUL,Battery Electric Vehicle (BEV),337
2016,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),16
2016,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),3
2016,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),10
2016,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),2
2016,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),10
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),992
2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),54
2016,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),10
2016,SMART,FORTWO,Battery Electric Vehicle (BEV),25
2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),887
2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),597
