region,parameter,powertrain,year,value
Australia,EV sales,BEV,2011,49.0
Australia,EV stock,BEV,2011,49.0
Australia,EV stock,BEV,2012,220.0
Australia,EV sales,BEV,2012,170.0
Australia,EV stock,PHEV,2012,80.0
Australia,EV sales,PHEV,2012,80.0
Australia,EV sales,PHEV,2013,100.0
Australia,EV stock,PHEV,2013,180.0
Australia,EV sales,BEV,2013,190.0
Australia,EV stock,BEV,2013,410.0
Australia,EV stock,BEV,2014,780.0
Australia,EV sales,BEV,2014,370.0
Australia,EV stock,PHEV,2014,1100.0
Australia,EV sales,PHEV,2014,950.0
Australia,EV sales,PHEV,2015,1000.0
Australia,EV stock,PHEV,2015,2100.0
Australia,EV sales,BEV,2015,760.0
Australia,EV stock,BEV,2015,1500.0
Australia,EV stock,BEV,2016,2200.0
Australia,EV sales,BEV,2016,670.0
Australia,EV stock,PHEV,2016,2800.0
Australia,EV sales,PHEV,2016,700.0
Australia,EV sales,PHEV,2017,1100.0
Australia,EV stock,PHEV,2017,3900.0
Australia,EV sales,BEV,2017,1200.0
Australia,EV stock,BEV,2017,3400.0
Australia,EV stock,BEV,2018,5200.0
Australia,EV sales,BEV,2018,1800.0
Australia,EV stock,PHEV,2018,5700.0
Australia,EV sales,PHEV,2018,1800.0
Australia,EV sales,PHEV,2019,2900.0
Australia,EV stock,PHEV,2019,8600.0
Australia,EV sales,BEV,2019,6300.0
Australia,EV stock,BEV,2019,12000.0
Australia,EV stock,BEV,2020,17000.0
Australia,EV sales,BEV,2020,5200.0
Australia,EV stock,PHEV,2020,10000.0
Australia,EV sales,PHEV,2020,1700.0
Australia,EV sales,PHEV,2021,3400.0
Australia,EV stock,PHEV,2021,14000.0
Australia,EV stock,FCEV,2021,44.0
Australia,EV sales,BEV,2021,17000.0
Australia,EV stock,BEV,2021,34000.0
Australia,EV sales,FCEV,2021,44.0
Australia,EV sales,FCEV,2022,15.0
Australia,EV stock,BEV,2022,67000.0
Australia,EV sales,BEV,2022,33000.0
Australia,EV stock,FCEV,2022,100.0
Australia,EV stock,PHEV,2022,21000.0
Australia,EV sales,PHEV,2022,5900.0
Australia,EV sales,PHEV,2023,11000.0
Australia,EV stock,PHEV,2023,31000.0
Australia,EV stock,FCEV,2023,65.0
Australia,EV sales,BEV,2023,87000.0
Australia,EV stock,BEV,2023,150000.0
Australia,EV sales,FCEV,2023,6.0
Austria,EV stock,BEV,2010,350.0
Austria,EV stock,BEV,2011,990.0
Austria,EV stock,BEV,2012,1400.0
Austria,EV stock,PHEV,2012,140.0
Austria,EV stock,PHEV,2013,410.0
Austria,EV stock,BEV,2013,2100.0
Austria,EV sales,BEV,2013,650.0
Austria,EV sales,BEV,2014,1700.0
Austria,EV stock,BEV,2014,3400.0
Austria,EV sales,FCEV,2014,6.0
Austria,EV stock,FCEV,2014,3.0
Austria,EV stock,PHEV,2014,780.0
Austria,EV stock,PHEV,2015,1500.0
Austria,EV stock,FCEV,2015,6.0
Austria,EV sales,FCEV,2015,4.0
Austria,EV sales,PHEV,2015,1100.0
Austria,EV stock,BEV,2015,5000.0
Austria,EV sales,BEV,2015,1700.0
Austria,EV sales,BEV,2016,3800.0
Austria,EV stock,BEV,2016,9100.0
Austria,EV sales,PHEV,2016,1200.0
Austria,EV stock,FCEV,2016,13.0
Austria,EV stock,PHEV,2016,2300.0
Austria,EV stock,PHEV,2017,3900.0
Austria,EV stock,FCEV,2017,19.0
Austria,EV sales,FCEV,2017,2.0
Austria,EV sales,PHEV,2017,1700.0
Austria,EV stock,BEV,2017,15000.0
Austria,EV sales,BEV,2017,5400.0
Austria,EV sales,BEV,2018,6800.0
Austria,EV stock,BEV,2018,21000.0
Austria,EV sales,PHEV,2018,2300.0
Austria,EV sales,FCEV,2018,7.0
Austria,EV stock,FCEV,2018,24.0
Austria,EV stock,PHEV,2018,5700.0
Austria,EV stock,PHEV,2019,8000.0
Austria,EV stock,FCEV,2019,41.0
Austria,EV sales,FCEV,2019,19.0
Austria,EV stock,BEV,2019,30000.0
Austria,EV sales,BEV,2019,9300.0
Austria,EV sales,PHEV,2019,2200.0
Austria,EV sales,PHEV,2020,7600.0
Austria,EV sales,BEV,2020,16000.0
Austria,EV stock,BEV,2020,45000.0
Austria,EV sales,FCEV,2020,14.0
Austria,EV stock,FCEV,2020,45.0
Austria,EV stock,PHEV,2020,15000.0
Austria,EV stock,PHEV,2021,29000.0
Austria,EV stock,FCEV,2021,55.0
Austria,EV sales,FCEV,2021,14.0
Austria,EV stock,BEV,2021,77000.0
Austria,EV sales,BEV,2021,33000.0
Austria,EV sales,PHEV,2021,15000.0
Austria,EV sales,PHEV,2022,13000.0
Austria,EV sales,BEV,2022,34000.0
Austria,EV stock,BEV,2022,110000.0
Austria,EV sales,FCEV,2022,14.0
Austria,EV stock,FCEV,2022,62.0
Austria,EV stock,PHEV,2022,42000.0
Austria,EV stock,PHEV,2023,61000.0
Austria,EV stock,FCEV,2023,89.0
Austria,EV sales,FCEV,2023,9.0
Austria,EV stock,BEV,2023,160000.0
Austria,EV sales,BEV,2023,48000.0
Austria,EV sales,PHEV,2023,17000.0
Belgium,EV sales,BEV,2010,48.0
Belgium,EV stock,BEV,2010,61.0
Belgium,EV sales,PHEV,2010,8.0
Belgium,EV stock,FCEV,2010,1.0
Belgium,EV stock,PHEV,2010,9.0
Belgium,EV stock,PHEV,2011,26.0
Belgium,EV stock,FCEV,2011,1.0
Belgium,EV sales,PHEV,2011,16.0
Belgium,EV stock,BEV,2011,320.0
Belgium,EV sales,BEV,2011,280.0
Belgium,EV sales,BEV,2012,570.0
Belgium,EV stock,BEV,2012,830.0
Belgium,EV sales,PHEV,2012,340.0
Belgium,EV stock,FCEV,2012,1.0
Belgium,EV stock,PHEV,2012,350.0
Belgium,EV stock,PHEV,2013,590.0
Belgium,EV stock,FCEV,2013,1.0
Belgium,EV sales,PHEV,2013,60.0
Belgium,EV stock,BEV,2013,1200.0
Belgium,EV sales,BEV,2013,500.0
