Connections,count
[],25
"[{'ID': 805426, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 400, 'CurrentTypeID': 30, 'Quantity': 10}, {'ID': 805427, 'ConnectionTypeID': 27, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 400, 'CurrentTypeID': 30, 'Quantity': 10}]",1
"[{'ID': 805267, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 350, 'CurrentTypeID': 30, 'Quantity': 8}]",1
"[{'ID': 805264, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 400, 'CurrentTypeID': 30, 'Quantity': 6}, {'ID': 805265, 'ConnectionTypeID': 27, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 400, 'CurrentTypeID': 30, 'Quantity': 6}]",1
"[{'ID': 805144, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 320, 'CurrentTypeID': 30, 'Quantity': 4}]",1
"[{'ID': 805098, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 120, 'CurrentTypeID': 30, 'Quantity': 6}]",1
"[{'ID': 805091, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 160, 'CurrentTypeID': 30, 'Quantity': 2}]",1
"[{'ID': 805089, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 120, 'CurrentTypeID': 30, 'Quantity': 6}]",1
"[{'ID': 805085, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150, 'CurrentTypeID': 30, 'Quantity': 4}]",1
"[{'ID': 805084, 'ConnectionTypeID': 32, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 200, 'CurrentTypeID': 30, 'Quantity': 2}]",1
