MetadataValues,count
,30962
"[{'ID': 19649, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19648, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19647, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19646, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19645, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19644, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19643, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19642, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
"[{'ID': 19641, 'MetadataFieldID': 4, 'ItemValue': 'Data from the German chargepoint registry provided by Bundesnetzagentur.de under the CC-BY 4.0 license'}]",1
