year,dataset,normalized_value
2010,iea,0.0
2011,iea,9.319942675846988e-05
2012,iea,0.00029373303615151864
2013,iea,0.0006139091089812028
2014,iea,0.0010905665668926744
2015,iea,0.001963012651557963
2016,iea,0.0029594966879189473
2017,iea,0.004582570173800498
2018,iea,0.007425755804478484
2019,iea,0.009819578490422375
2020,iea,0.0380399888997405
2021,iea,0.06648169095262661
2022,iea,0.10415753747598719
2023,iea,0.15308691673730224
2025,iea,0.17448816971888223
2030,iea,0.4959798853137764
2035,iea,1.0
2010,sales,0.0
2011,sales,0.00043523366174711016
2012,sales,0.01244345867520479
2013,sales,0.020524528043602778
2014,sales,0.03085687875415296
2015,sales,0.042034097206434244
2016,sales,0.056750798475529975
2017,sales,0.07585064324058552
2018,sales,0.10561137432558239
2019,sales,0.14062084215039442
2020,sales,0.3059428789512404
2021,sales,0.42158447678800387
2022,sales,0.512183667006163
2023,sales,0.6878050197130093
2024,sales,0.851354622807182
2030,sales,1.0
1999,population,1.6709833737154316e-05
2000,population,0.00010025900242292589
2002,population,0.0
2003,population,0.0
2008,population,0.000317486841005932
2010,population,0.0003509065084802406
2011,population,0.009791962569972428
2012,population,0.023326927897067425
2013,population,0.06647171860639986
2014,population,0.05387250396858551
2015,population,0.07343971927479322
2016,population,0.08473556688110953
2017,population,0.1411479655777425
2018,population,0.2342718689949035
2019,population,0.18103433870832986
2020,population,0.20106942935917788
2021,population,0.3486339710919876
2022,population,0.5000919040855544
2023,population,1.0
2024,population,0.8328515331272454
2025,population,0.614721363522433
2026,population,0.25913610159578915
2018,stock,0.0
2019,stock,0.1047098944632332
2020,stock,0.3711214695994656
2021,stock,0.8829834142417287
2022,stock,0.8638206588840639
2023,stock,1.0
