year,vehicle_count,yoy_pct
1999,2,
2000,7,250.0
2002,1,-85.71428571428572
2003,1,0.0
2008,20,1900.0
2010,22,10.000000000000009
2011,587,2568.1818181818185
2012,1397,137.98977853492335
2013,3979,184.82462419470292
2014,3225,-18.949484795174666
2015,4396,36.310077519379846
2016,5072,15.377616014558694
2017,8448,66.5615141955836
2018,14021,65.96827651515152
2019,10835,-22.72305826973825
2020,12034,11.065989847715741
2021,20865,73.38374605285026
2022,29929,43.44116942247784
2023,59846,99.95990510875738
2024,49843,-16.714567389633395
2025,36789,-26.190237345264133
2026,15509,-57.84337709641469
